date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2024-10-15,BBCA,1,1.5,1.5,1,0,0
2024-10-16,BBCA,1,1.8,1.8,1,0,0
2024-10-17,BBCA,2,1.5,3.0,1,1,0
2024-10-18,BBCA,7,1.1666666666666667,8.166666666666668,5,0,2
2024-10-19,BBCA,1,3.3333333333333335,3.3333333333333335,1,0,0
2024-10-20,BBCA,1,3.0,3.0,1,0,0
2024-10-21,BBCA,3,0.8333333333333334,2.5,2,0,1
2024-10-22,BBCA,4,1.4583333333333333,5.833333333333333,4,0,0
2024-10-23,BBCA,5,1.2,6.0,3,1,1
2024-10-24,BBCA,2,0.6666666666666666,1.3333333333333333,1,0,1
2024-10-25,BBCA,2,2.5,5.0,2,0,0
2024-10-26,BBCA,1,-4.0,-4.0,0,0,1
2024-10-28,BBCA,4,-1.4464285714285714,-5.785714285714286,1,0,3
2024-10-29,BBCA,1,3.0,3.0,1,0,0
2024-10-30,BBCA,3,-0.3055555555555556,-0.9166666666666667,1,0,2
2024-10-31,BBCA,1,-1.0,-1.0,0,0,1
2024-11-01,BBCA,7,-0.5666666666666667,-3.9666666666666663,2,2,3
2024-11-02,BBCA,1,-0.5,-0.5,0,0,1
2024-11-04,BBCA,2,0.25,0.5,1,0,1
2024-11-05,BBCA,5,1.0,5.0,3,1,1
2024-11-06,BBCA,3,-0.22222222222222224,-0.6666666666666667,2,0,1
2024-11-07,BBCA,3,-1.5555555555555556,-4.666666666666667,1,0,2
2024-11-11,BBCA,2,-0.7,-1.4,1,0,1
2024-11-12,BBCA,5,1.2,6.0,4,0,1
2024-11-13,BBCA,8,0.3854166666666667,3.0833333333333335,6,0,2
2024-11-14,BBCA,1,2.0,2.0,1,0,0
2024-11-16,BBCA,1,-1.25,-1.25,0,0,1
2024-11-18,BBCA,2,1.5,3.0,2,0,0
2024-11-19,BBCA,1,-0.25,-0.25,0,0,1
